Epoch [23/100] Step [80]  lossD: 0.6367  lossG: 2.7817  L1: 0.0389  Adv: 0.8367
Epoch [23/100] Step [100]  lossD: 0.6401  lossG: 2.6681  L1: 0.0379  Adv: 0.7715
Epoch [23/100] Step [120]  lossD: 0.6344  lossG: 3.0238  L1: 0.0442  Adv: 0.8117
Epoch [23/100] Step [140]  lossD: 0.6210  lossG: 2.9557  L1: 0.0424  Adv: 0.8372
Epoch [23/100] Step [160]  lossD: 0.6169  lossG: 2.8065  L1: 0.0373  Adv: 0.9434
Epoch [23/100] Step [180]  lossD: 0.6430  lossG: 2.5310  L1: 0.0320  Adv: 0.9297
Epoch [24/100] Step [0]  lossD: 0.6905  lossG: 2.8689  L1: 0.0387  Adv: 0.9326
Epoch [24/100] Step [20]  lossD: 0.7238  lossG: 2.5018  L1: 0.0339  Adv: 0.8046
Epoch [24/100] Step [40]  lossD: 0.7029  lossG: 2.6789  L1: 0.0374  Adv: 0.8071
Epoch [24/100] Step [60]  lossD: 0.6361  lossG: 2.9012  L1: 0.0414  Adv: 0.8296
Epoch [24/100] Step [80]  lossD: 0.5826  lossG: 3.1702  L1: 0.0438  Adv: 0.9826
Epoch [24/100] Step [100]  lossD: 0.6491  lossG: 2.5176  L1: 0.0353  Adv: 0.7535
Epoch [24/100] Step [120]  lossD: 0.5956  lossG: 2.9995  L1: 0.0424  Adv: 0.8808
Epoch [24/100] Step [140]  lossD: 0.6265  lossG: 2.6473  L1: 0.0362  Adv: 0.8368
Epoch [24/100] Step [160]  lossD: 0.6837  lossG: 2.7556  L1: 0.0398  Adv: 0.7643
Epoch [24/100] Step [180]  lossD: 0.6652  lossG: 2.7931  L1: 0.0394  Adv: 0.8232
Epoch [25/100] Step [0]  lossD: 0.7026  lossG: 2.2977  L1: 0.0307  Adv: 0.7630
Epoch [25/100] Step [20]  lossD: 0.5674  lossG: 2.8728  L1: 0.0397  Adv: 0.8873
Epoch [25/100] Step [40]  lossD: 0.6383  lossG: 2.6028  L1: 0.0354  Adv: 0.8341
Epoch [25/100] Step [60]  lossD: 0.6378  lossG: 3.0645  L1: 0.0415  Adv: 0.9873
Epoch [25/100] Step [80]  lossD: 0.6480  lossG: 2.7661  L1: 0.0351  Adv: 1.0110
Epoch [25/100] Step [100]  lossD: 0.6431  lossG: 2.6280  L1: 0.0369  Adv: 0.7824
Epoch [25/100] Step [120]  lossD: 0.6130  lossG: 2.7528  L1: 0.0396  Adv: 0.7736
Epoch [25/100] Step [140]  lossD: 0.7206  lossG: 2.3489  L1: 0.0331  Adv: 0.6936
Epoch [25/100] Step [160]  lossD: 0.6019  lossG: 2.7172  L1: 0.0375  Adv: 0.8414
